Job_Title;Employer;Link;City
Python Developer;NVIDIA;https://ua.jooble.org/jdp/3474939558422114169/Python-Developer-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=1&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=140&brelb=100&bscr=8309.295&scr=11633.013&premImp=1&iid=-3041358598084070447;Киев
C /Python Developer;NVIDIA;https://ua.jooble.org/jdp/8948538937220461070/C-%2F-Python-Developer-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=2&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=140&brelb=100&bscr=7842.112&scr=10978.9568&premImp=1&iid=-7360003677132984666;Киев
Python Developer;EOS Data Analytics;https://ua.jooble.org/jdp/-608656681952570209/Python-Developer-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=3&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=58&relb=140&brelb=100&bscr=7158.0605&scr=10021.2847&premImp=1&iid=1332509819568982071;Киев
Middle/SeniorPython Developer;Portaone;https://ua.jooble.org/jdp/-5880272354065469739/Middle%2FSenior-Python-Developer-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=4&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=140&brelb=100&bscr=6679.2593&scr=9350.96302&premImp=1&iid=5446690423064834685;Киев
JuniorTelecommunication Engineer (Intern);LLC Huawei Ukraine / ТОВ Хуавей Україна;https://ua.jooble.org/jdp/-246592917339660382/Junior-Telecommunication-Engineer-(Intern)-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=5&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=58&relb=140&brelb=100&bscr=4201.2773&scr=5881.78822&premImp=1&iid=1828591647843812106;Киев
JuniorFlutterdeveloper;DEVSTEAM;https://ua.jooble.org/jdp/2697321588856259805/Junior-Flutter-developer-%D0%9A%D0%B8%D0%B5%D0%B2?ckey=junior+python+developer&rgn=1&pos=6&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=100&brelb=100&bscr=5738.48&scr=5738.48&iid=-4567401161972737931;Киев
Junioraccountant;GDM Group;https://ua.jooble.org/jdp/3719020774028439695/Junior-accountant-%D0%9A%D0%B8%D0%B5%D0%B2?ckey=junior+python+developer&rgn=1&pos=7&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=58&relb=140&brelb=100&bscr=4094.6487&scr=5732.50818&premImp=1&iid=-2995167708411139033;Киев
Software Engineer for tools team (C++/C/Python);NVIDIA;https://ua.jooble.org/jdp/5360682873135337065/Software-Engineer-for-tools-team-(C%2B%2B%2FC%2FPython)-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=1&p=1&age=82&brelb=100&premImp=1&recId=-4447851925800598566&iRecId=-6704100794947196772;Киев
Верстальщик;Rozetka.ua;https://ua.jooble.org/jdp/-5821650060959601149/%D0%92%D0%B5%D1%80%D1%81%D1%82%D0%B0%D0%BB%D1%8C%D1%89%D0%B8%D0%BA-%D0%9A%D0%B8%D0%B5%D0%B2?ckey=junior+python+developer&rgn=1&pos=2&p=1&age=130&brelb=100&premImp=1&recId=-4447851925800598566&iRecId=-2553219543434004923;Киев
JuniorProject Manager;Winner;https://ua.jooble.org/jdp/-9021872764398526743/Junior-Project-Manager-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=3&p=1&age=2122&brelb=100&premImp=1&recId=-4447851925800598566&iRecId=-5519863803584890703;Киев
JuniorReactDeveloper;XPS;https://ua.jooble.org/desc/2922934280201958639?ckey=junior+python+developer&rgn=1&pos=8&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=115&brelb=115&bscr=4744.879&scr=5456.61085&iid=-3646857573449963449;Киев
PythonMiddleDeveloper;white.talents;https://ua.jooble.org/desc/1151586506884979465?ckey=junior+python+developer&rgn=1&pos=10&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=101&brelb=115&bscr=4989.486&scr=5039.38086&iid=-1582774795644270687;Киев
SeniorPython Developer;FOZZY GROUP, Корпорация;https://ua.jooble.org/desc/-1969620446885470068?ckey=junior+python+developer&rgn=1&pos=11&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=101&brelb=115&bscr=4947.367&scr=4996.84067&iid=97139402373217316;Киев
MiddlePython Developer;It was not mentioned in the description. Should be clarified;https://ua.jooble.org/desc/-6820031276718318074?ckey=junior+python+developer&rgn=1&pos=12&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=58&relb=100&brelb=100&bscr=4940.4497&scr=4940.4497&iid=4947761463059743406;Киев
JuniorС++ Client SideDeveloper;NetGame;https://ua.jooble.org/desc/1243871549040764922?ckey=junior+python+developer&rgn=1&pos=13&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=58&relb=115&brelb=115&bscr=4249.841&scr=4887.31715&iid=-815004251953054894;Киев
JuniorHR Assistant з пошуку перекладачів;Advanced International Translations / Ait;https://ua.jooble.org/jdp/-2526365275537493926/Junior-HR-Assistant-%D0%B7-%D0%BF%D0%BE%D1%88%D1%83%D0%BA%D1%83-%D0%BF%D0%B5%D1%80%D0%B5%D0%BA%D0%BB%D0%B0%D0%B4%D0%B0%D1%87%D1%96%D0%B2-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=14&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=140&brelb=100&bscr=3482.4463&scr=4875.42482&premImp=1&iid=4108152903625682162;Киев
JuniorReactDeveloper;It was not mentioned in the description. Should be clarified;https://ua.jooble.org/desc/-5472569842028685283?ckey=junior+python+developer&rgn=1&pos=15&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=82&relb=100&brelb=100&bscr=4760.005&scr=4760.005&iid=5908192605584278709;Киев
Senior JavaDeveloper;Codeminders;https://ua.jooble.org/jdp/-6728496510443266136/Senior-Java-Developer-%D0%9A%D0%B8%D1%97%D0%B2?ckey=junior+python+developer&rgn=1&pos=16&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=58&relb=140&brelb=100&bscr=3284.7966&scr=4598.71524&premImp=1&iid=5146505467949695744;Киев
JuniorUnity 3DDeveloper;It was not mentioned in the description. Should be clarified;https://ua.jooble.org/desc/8424677364901860991?ckey=junior+python+developer&rgn=1&pos=17&elckey=-1174677050353656966&p=1&sid=2782154678892528567&age=58&relb=100&brelb=100&bscr=4585.5386&scr=4585.5386&iid=-7991096529671533865;Киев
